"SourcePath","ArtifactClass","Description","DurableValue","BrainyOverlap","PrimaryDisposition","ConceptualTarget","MigrationRisk","EvidenceConfidence","Rationale","SizeBytes","ModifiedLocal","SHA256"
"00_HUMAN/HUMAN.PS_HERMES_OBSIDIAN_INTEGRATION.md","PROJECT_IDENTITY","Human intent and project governance baseline.","HIGH","HIGH","TRANSFER_TO_BRAINY","Brainy purpose/governance review","HIGH","HIGH","Contains durable intent mixed with obsolete project-specific identity; extract, do not copy.","1234","2026-07-03T23:41:54.0767252-04:00","CA1662ACD3D7B66B599B8FFA716A38B06E8806A14C6972E13A9B0A6007D17922"
"01_WHOAMI/WHOAMI.PS_HERMES_OBSIDIAN_INTEGRATION.md","PROJECT_IDENTITY","Tool-specific project identity and declared scope.","MEDIUM","HIGH","ARCHIVE_AS_EVIDENCE","Brainy purpose/governance review","HIGH","HIGH","Identity is superseded, but scope boundaries may contain durable requirements.","909","2026-07-03T23:41:54.0779780-04:00","75730E1EE95ABAB56549227904A7EDE7F44C4BE2AF38E6155FAB4CBCDE6E2A9C"
"02_BATON/BATON.PS_HERMES_OBSIDIAN_INTEGRATION.ACTIVE.md","CONTINUITY","Historical project continuity snapshot.","MEDIUM","LOW","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Stale continuity is evidence, not active Brainy canon.","1283","2026-07-03T23:41:54.0799945-04:00","125BF91B242631728E9C86DDA0BF7967AEE3A1FBB5B72D093BB93F78D510270D"
"03_RADAR/ACTIVE/RADAR_INDEX.PS_HERMES_OBSIDIAN_INTEGRATION.ACTIVE.csv","INVENTORY_EVIDENCE","Historical inventory and structural evidence.","LOW","LOW","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Useful for traceability only.","5481","2026-07-04T00:37:55.0103056-04:00","48C56D2189E6C0416CDE60822D0329F024931DDB074AF9AA27C3352A135F7732"
"03_RADAR/ACTIVE/RADAR_LITE.PS_HERMES_OBSIDIAN_INTEGRATION.ACTIVE.txt","INVENTORY_EVIDENCE","Historical inventory and structural evidence.","LOW","LOW","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Useful for traceability only.","1255","2026-07-04T00:37:55.0343696-04:00","BEC4EB65D4544D7A89F8E4F28568AF0E1B7FFA3A34A2FE9DC98BC7FED2BE7979"
"03_RADAR/ACTIVE/RADAR_SUMMARY.PS_HERMES_OBSIDIAN_INTEGRATION.ACTIVE.txt","INVENTORY_EVIDENCE","Historical inventory and structural evidence.","LOW","LOW","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Useful for traceability only.","435","2026-07-04T00:37:55.0313058-04:00","88D23DD86F259363D4F3A6FB6E7E7ECF3B881ACE1BA22026DABB298F23174BC2"
"04_CIS/CIS-001C.PROJECT_BOOTSTRAP.md","CHANGE_INSTRUCTION_EVIDENCE","Approved scope, test or decision package.","MEDIUM","MEDIUM","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve execution history; durable requirements are extracted through policy/workflow review.","1058","2026-07-03T23:41:54.0824369-04:00","9B95FBEABB4E4AE42DD758CC0B2CFA3E325CE43796C9C80D052CD401F350F603"
"04_CIS/CIS-005A.PROJECT_SCOPE_AND_WORKFLOW_BASELINE.md","CHANGE_INSTRUCTION_EVIDENCE","Approved scope, test or decision package.","MEDIUM","MEDIUM","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve execution history; durable requirements are extracted through policy/workflow review.","2162","2026-07-04T12:56:18.0852404-04:00","6DE8E09E04790D1A263FEBAACBB2147BCD2D9EB676A222874723B17BD3D974DD"
"04_CIS/CIS-005B.UPDATE_GLOBALTEMPHERMES_POLICY.md","CHANGE_INSTRUCTION_EVIDENCE","Approved scope, test or decision package.","MEDIUM","MEDIUM","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve execution history; durable requirements are extracted through policy/workflow review.","980","2026-07-04T12:56:18.1347909-04:00","6C4E84327F0ADA14E8B6001AA10FC416CA763FBF5208C1F7D87099FF88B2190B"
"04_CIS/CIS-006B.WORKFLOW001_PERSONAL_CAPTURE_CONTROLLED_TEST.md","CHANGE_INSTRUCTION_EVIDENCE","Approved scope, test or decision package.","MEDIUM","MEDIUM","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve execution history; durable requirements are extracted through policy/workflow review.","659","2026-07-04T21:34:28.7775274-04:00","8BB2EC461D93945DAA3A83BF46DC9BF60A769991860C6229FF45FCCF1B0A21F3"
"04_CIS/CIS-006C.WORKFLOW001_REAL_LOW_SENSITIVITY_PERSONAL_NOTE.md","CHANGE_INSTRUCTION_EVIDENCE","Approved scope, test or decision package.","MEDIUM","MEDIUM","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve execution history; durable requirements are extracted through policy/workflow review.","694","2026-07-04T22:08:30.8551984-04:00","E3C3DA8B41780C2A4C3ED641B4EB4D48B0D4B6A0FFA649E66F98E177C22A7523"
"04_CIS/CIS-006D.PROMOTE_WORKFLOW001_STANDARD_DAILY_LOOP_CANDIDATE.md","CHANGE_INSTRUCTION_EVIDENCE","Approved scope, test or decision package.","MEDIUM","MEDIUM","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve execution history; durable requirements are extracted through policy/workflow review.","1130","2026-07-05T00:36:21.3401877-04:00","2119CB0161965144371A801E00D6DCC62C583BFB47204C4AE4542937FFD74F23"
"04_CIS/CIS-006E.FIX_WORKFLOW001_GLOBALTEMPHERMES_REFERENCE.md","CHANGE_INSTRUCTION_EVIDENCE","Approved scope, test or decision package.","MEDIUM","MEDIUM","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve execution history; durable requirements are extracted through policy/workflow review.","917","2026-07-05T00:48:07.6896815-04:00","F164E940838A05C71C68C5885A0DA4007AF4D8E14EE63AB4E114132DE8096BAE"
"04_CIS/CIS-007A.RELEASE001_CANDIDATE_CLOSURE_REVIEW.md","CHANGE_INSTRUCTION_EVIDENCE","Approved scope, test or decision package.","MEDIUM","MEDIUM","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve execution history; durable requirements are extracted through policy/workflow review.","1038","2026-07-05T00:59:35.9768748-04:00","68456266D0CD4C9750AA8FDF631D840CBCCFEA6A27105B028D7F8B35442AD6B6"
"04_CIS/CIS-007B.HUMAN_ACCEPT_RELEASE001_CANDIDATE.md","CHANGE_INSTRUCTION_EVIDENCE","Approved scope, test or decision package.","MEDIUM","MEDIUM","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve execution history; durable requirements are extracted through policy/workflow review.","1014","2026-07-05T01:06:30.6477276-04:00","24BA2D73B38AC4014548E856582027BEBD876D1A59B547114EC9C81ECC18679C"
"04_CIS/CIS-008A.WORKFLOW001_MANUAL_DAILY_CYCLE_001.md","CHANGE_INSTRUCTION_EVIDENCE","Approved scope, test or decision package.","MEDIUM","MEDIUM","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve execution history; durable requirements are extracted through policy/workflow review.","578","2026-07-05T01:19:58.2697984-04:00","30FD51CD7D12E5E0A08B9DA70EABD7DEA8A1FCDE7E59E5E1A6B4C945B0DE7F4A"
"04_CIS/CIS-008B.OBSIDIAN_HERMES_UX_INTAKE_DESIGN.md","CHANGE_INSTRUCTION_EVIDENCE","Approved scope, test or decision package.","MEDIUM","MEDIUM","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve execution history; durable requirements are extracted through policy/workflow review.","758","2026-07-05T01:56:46.9999035-04:00","5094DAEF9DCBFF4C7D2479863D450C74C0FA557596BE5E7784E360915D6B97A8"
"04_CIS/CIS-008C.WORKFLOW001_OBSIDIAN_COPY_PASTE_BRIDGE_CYCLE_001.md","CHANGE_INSTRUCTION_EVIDENCE","Approved scope, test or decision package.","MEDIUM","MEDIUM","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve execution history; durable requirements are extracted through policy/workflow review.","635","2026-07-05T10:47:18.6804709-04:00","C542D434818917EB43CB5DD5A077E301704554D418F01FBF6C1EFA0E1018BD76"
"05_POLICIES/POLICY.AI_ROUTING.md","AI_ROUTING_POLICY","Mixed tool-specific routing state and durable sensitivity/cost rules.","HIGH","HIGH","SPLIT_BEFORE_TRANSFER","Brainy routing requirements and later tool review","HIGH","HIGH","Split durable privacy/cost rules from Hermes/OpenRouter implementation details.","742","2026-07-03T23:41:54.0859393-04:00","F88F27FF84D24F9C72D65660212B895334441088BE1FF20002ACAD9A0275FE92"
"05_POLICIES/POLICY.GLOBALTEMP.md","PROJECT_TEMP_POLICY","Hermes-project-specific disposable staging policy.","LOW","LOW","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Path is project-specific and should not become Brainy canon.","1114","2026-07-04T12:56:18.1618769-04:00","E37D5010F976EA2A36AC7580606E812B855DA305BF9D7D476D1756D29364DA97"
"05_POLICIES/POLICY.OBSIDIAN_HERMES_UX_INTAKE_BOUNDARY.md","TOOL_BOUNDARY_POLICY","Obsidian/Hermes-specific intake restrictions and future gates.","HIGH","MEDIUM","SPLIT_BEFORE_TRANSFER","Brainy requirements plus deferred tool review","HIGH","HIGH","Extract no-traversal and explicit-source requirements; defer plugin-specific decisions.","972","2026-07-05T01:56:47.0039023-04:00","21296511E36DC936D5E065061D326F046F5366E13CC34F3F22FCA6F1F2596B99"
"05_POLICIES/POLICY.VAULT_BOUNDARY.md","BOUNDARY_POLICY","Read-only defaults and protected vault/config boundaries.","HIGH","HIGH","TRANSFER_TO_BRAINY","Brainy source-boundary requirements","MEDIUM","HIGH","Contains durable no-touch and explicit-approval requirements independent of tool choice.","1390","2026-07-04T12:27:55.9206228-04:00","9EFB1F160F6B298B256DC4143AF32AFA1CCAAA85825DDE649F9F98E9B463A175"
"05_POLICIES/POLICY.WORK_PRIVACY.md","PRIVACY_POLICY","Corporate-sensitive Work handling rules.","HIGH","HIGH","TRANSFER_TO_BRAINY","Brainy privacy requirements","MEDIUM","HIGH","Tool-neutral privacy requirement.","731","2026-07-03T23:41:54.0874556-04:00","7ABCF1F5F62A07B30230F1FCD25C152D326F263902CB1AA9EB45C083403ADFC2"
"05_POLICIES/POLICY.WORKFLOW001_INPUT_MODES.md","INPUT_POLICY","Allowed, pending and blocked intake modes.","HIGH","HIGH","TRANSFER_TO_BRAINY","Brainy intake requirements","MEDIUM","HIGH","Human-supplied paste/file and no-hidden-scan rules are tool-neutral.","1100","2026-07-05T00:36:21.3451882-04:00","88196D3570C095FF7751B411ED18B5A9BB894197FD5E184A4081B3D5752D5200"
"06_RUNBOOKS/RUNBOOK.CONTEXT_SELECTION.md","OPERATING_RUNBOOK","Minimum selected-context operating procedure.","HIGH","HIGH","TRANSFER_TO_BRAINY","Brainy source-selection requirements","MEDIUM","HIGH","Minimum necessary context is a durable requirement; tool-specific commands should be omitted.","664","2026-07-03T23:41:54.0905265-04:00","732C910193F4879638F4224370E48A5ADF6123AD15A041C60C918BA41576EFCD"
"06_RUNBOOKS/RUNBOOK.HERMES_OBSIDIAN.md","TOOL_RUNBOOK","Hermes gateway and Obsidian plugin operation.","MEDIUM","LOW","DEFER_TOOL_DECISION","Later Brainy market-tool review","LOW","HIGH","Relevant only if Hermes/Obsidian are retained.","663","2026-07-03T23:41:54.0895205-04:00","0CA963275528E4F59D5B6E9318FF266A9B19083A87E0DEC5A2B39A5EB6321262"
"07_TOOLS/README.TOOLS.md","TOOLING_GOVERNANCE","Generic script reversibility and reporting conventions.","MEDIUM","LOW","ROUTE_TO_SKILLS_GRC","Skills/GRC opportunity accumulation","LOW","HIGH","Reusable execution-governance pattern, not Brainy-specific content.","415","2026-07-03T23:41:54.0920345-04:00","43ED8B3F60E47A1176FD96A0B6C68F82E8CEEFB94CDEBBBB507C061B68F1E2C7"
"08_LOGS/LOG.CIS006A.WORKFLOW001_FIRST_TEST.20260704_204228.txt","EXECUTION_LOG","Historical test or change execution evidence.","LOW","LOW","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve traceability without polluting active Brainy canon.","746","2026-07-04T20:42:28.5506913-04:00","8AF396E81A15A2670CF5CBDB6C153CD5AF8E65A3D7E35A5492C6BDB5F3364299"
"08_LOGS/LOG.CIS006B.WORKFLOW001_PERSONAL_CAPTURE_CONTROLLED_TEST.20260704_213428.txt","EXECUTION_LOG","Historical test or change execution evidence.","LOW","LOW","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve traceability without polluting active Brainy canon.","621","2026-07-04T21:34:28.9298345-04:00","AF6613C53652B51AFCC5E8A1AE345C1ABFAF7561853554F0A18E5A3C21C2ECBD"
"08_LOGS/LOG.CIS006C.WORKFLOW001_REAL_LOW_SENSITIVITY_PERSONAL_NOTE.20260704_220745.txt","EXECUTION_LOG","Historical test or change execution evidence.","LOW","LOW","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve traceability without polluting active Brainy canon.","704","2026-07-04T22:08:31.0436775-04:00","CCB777722BDBE2A70460DFB35E870B3C51E45D6C76987613E5309AF87283138D"
"08_LOGS/LOG.CIS006D.PROMOTE_WORKFLOW001_STANDARD_DAILY_LOOP_CANDIDATE.20260705_003621.txt","EXECUTION_LOG","Historical test or change execution evidence.","LOW","LOW","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve traceability without polluting active Brainy canon.","360","2026-07-05T00:36:21.4935341-04:00","45AC5DD49EFF3A4D2E04F01BB75227B70524B9A51F95877DA7D66259D3E27350"
"08_LOGS/LOG.CIS006E.FIX_WORKFLOW001_GLOBALTEMPHERMES_REFERENCE.20260705_004807.txt","EXECUTION_LOG","Historical test or change execution evidence.","LOW","LOW","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve traceability without polluting active Brainy canon.","704","2026-07-05T00:48:07.9804067-04:00","7F9A27C5B3DDB5D4A7FD648DA0D9D99849773D8FF3A4C57CC729E6CB1DC447B4"
"08_LOGS/LOG.CIS007A.RELEASE001_CANDIDATE_CLOSURE_REVIEW.20260705_005935.txt","EXECUTION_LOG","Historical test or change execution evidence.","LOW","LOW","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve traceability without polluting active Brainy canon.","758","2026-07-05T00:59:36.1266819-04:00","47B99643FD765E9744349D8D35F30AF88F64B18B3577B3AAC67D2BCB35CEC05A"
"08_LOGS/LOG.CIS007B.HUMAN_ACCEPT_RELEASE001_CANDIDATE.20260705_010630.txt","EXECUTION_LOG","Historical test or change execution evidence.","LOW","LOW","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve traceability without polluting active Brainy canon.","847","2026-07-05T01:06:30.8850006-04:00","E9F0098AECE5DE98D37B2BF790D6BB6915E9695927EB1A2977EABD07814E37DD"
"08_LOGS/LOG.CIS008A.WORKFLOW001_MANUAL_DAILY_CYCLE_001.20260705_011930.txt","EXECUTION_LOG","Historical test or change execution evidence.","LOW","LOW","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve traceability without polluting active Brainy canon.","827","2026-07-05T01:19:58.4652124-04:00","0931F0E33F7B56F8D70FE6F04DD8A7B6D1E98F6EED56B51E8F72BBA459706514"
"08_LOGS/LOG.CIS008B.OBSIDIAN_HERMES_UX_INTAKE_DESIGN.20260705_015646.txt","EXECUTION_LOG","Historical test or change execution evidence.","LOW","LOW","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve traceability without polluting active Brainy canon.","665","2026-07-05T01:56:47.1780925-04:00","FC46252A9649019B45DF650823EA545472971737A44477CC518DC902FA0809A9"
"08_LOGS/LOG.CIS008C.WORKFLOW001_OBSIDIAN_COPY_PASTE_BRIDGE_CYCLE_001.20260705_102708.txt","EXECUTION_LOG","Historical test or change execution evidence.","LOW","LOW","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Preserve traceability without polluting active Brainy canon.","816","2026-07-05T10:47:18.8843169-04:00","C6B8E8A991E524AD7C4C6B9A8D2AAF4D0729A278FDB5812A5932E73FE8EB9412"
"09_BACKLOG/BACKLOG.PS_HERMES_OBSIDIAN_INTEGRATION.ACTIVE.md","BACKLOG","Mixed completed, stale, tool-specific and potentially durable open work.","MEDIUM","HIGH","ARCHIVE_AS_EVIDENCE","Wings4.0 transfer decision review","HIGH","HIGH","Items must be reclassified individually; several OPEN states are stale.","4342","2026-07-05T10:47:18.7952509-04:00","2F7C68DE2C74BEB1A33200CBA375231B177256D9E7BF1A08541EA9090CCE8544"
"09_TEMP/HERMES_OBSIDIAN_CIS001C_PROJECT_BOOTSTRAP_R2.20260703_234153/APPLY_REPORT.CIS-001C.txt","TEMPORARY_EXECUTION_EVIDENCE","Temporary bootstrap/diagnostic run artifacts.","LOW","NONE","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Do not transfer into Brainy; retain only with source archive.","587","2026-07-03T23:41:54.1121346-04:00","AA6DC45B7F28D414B747634F44FD65511AA7262CA42C39CB4747DEBF89584615"
"09_TEMP/HERMES_OBSIDIAN_CIS001C_PROJECT_BOOTSTRAP_R2.20260703_234153/CREATED_DIRS.CIS-001C.txt","TEMPORARY_EXECUTION_EVIDENCE","Temporary bootstrap/diagnostic run artifacts.","LOW","NONE","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Do not transfer into Brainy; retain only with source archive.","918","2026-07-03T23:41:54.1076901-04:00","EAC31A285D5C0C5308D0021771866EB2C76F3E0B0999CEEDD1A656DBF3FD878D"
"09_TEMP/HERMES_OBSIDIAN_CIS001C_PROJECT_BOOTSTRAP_R2.20260703_234153/CREATED_FILES.CIS-001C.txt","TEMPORARY_EXECUTION_EVIDENCE","Temporary bootstrap/diagnostic run artifacts.","LOW","NONE","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Do not transfer into Brainy; retain only with source archive.","964","2026-07-03T23:41:54.0985558-04:00","D27FCB9697268F89BD35F02008688DE9A17D32D212F2012BA50259EC5CEED6ED"
"09_TEMP/HERMES_OBSIDIAN_CIS001C_PROJECT_BOOTSTRAP_R2.20260703_234153/ROLLBACK_MANIFEST.CIS-001C.txt","TEMPORARY_EXECUTION_EVIDENCE","Temporary bootstrap/diagnostic run artifacts.","LOW","NONE","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Do not transfer into Brainy; retain only with source archive.","2187","2026-07-03T23:41:54.1111373-04:00","5843FBE114AC5296584DE214A17746B187489DB94F002DDE2DCCA442DDE70F22"
"09_TEMP/HERMES_OBSIDIAN_CIS001C_PROJECT_BOOTSTRAP_R2.20260703_234153/SKIPPED_EXISTING_FILES.CIS-001C.txt","TEMPORARY_EXECUTION_EVIDENCE","Temporary bootstrap/diagnostic run artifacts.","LOW","NONE","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Do not transfer into Brainy; retain only with source archive.","0","2026-07-03T23:41:54.1086848-04:00","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"09_TEMP/HERMES_OBSIDIAN_CIS001C_PROJECT_BOOTSTRAP_R2.20260703_234153/WARNINGS.CIS-001C.txt","TEMPORARY_EXECUTION_EVIDENCE","Temporary bootstrap/diagnostic run artifacts.","LOW","NONE","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Do not transfer into Brainy; retain only with source archive.","0","2026-07-03T23:41:54.1086848-04:00","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"09_TEMP/HERMES_OBSIDIAN_CIS002A_PROJECT_RADAR_LITE_R1.20260704_003754/CIS002A.OUTPUTS.txt","TEMPORARY_EXECUTION_EVIDENCE","Temporary bootstrap/diagnostic run artifacts.","LOW","NONE","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Do not transfer into Brainy; retain only with source archive.","480","2026-07-04T00:37:55.0375602-04:00","D1831AA517AAD027111E452B3BA7F61E69F39E0841EC3FBCF20BC1F16A313CBE"
"09_TEMP/HERMES_OBSIDIAN_CIS002A_PROJECT_RADAR_LITE_R1.20260704_003754/CIS002A.RUN_REPORT.txt","TEMPORARY_EXECUTION_EVIDENCE","Temporary bootstrap/diagnostic run artifacts.","LOW","NONE","ARCHIVE_AS_EVIDENCE","Hermes project archive package","LOW","HIGH","Do not transfer into Brainy; retain only with source archive.","655","2026-07-04T00:37:55.0365415-04:00","5EA72718F6ADD8C75F172A4469E53739E28F8EACC6B348446615CA67C7AE0E9A"
